,epsilon_progress,hypervolume,nfe
0,0,0.0,0
1,15,0.984821005389901,100
2,21,0.987685533453446,200
3,27,0.9889087879302362,300
4,32,0.9947041705798221,400
5,42,0.9947514413563397,500
6,48,0.9963576900915188,600
7,52,0.9974778486613086,700
8,56,0.9999960411765854,800
9,62,0.9999975292070583,900
10,64,0.9999996495665266,1000
11,66,0.9999998232094969,1100
12,71,0.9999999380936349,1200
13,71,0.9999999380936349,1300
14,72,1.0,1400
15,72,1.0,1500
16,72,1.0,1600
17,72,1.0,1700
18,72,1.0,1800
19,72,1.0,1900
20,72,1.0,2000
21,72,1.0,2100
22,72,1.0,2200
23,72,1.0,2300
24,72,1.0,2400
25,72,1.0,2500
26,72,1.0,2600
27,72,1.0,2700
28,72,1.0,2800
29,72,1.0,2900
30,72,1.0,3000
31,72,1.0,3100
32,72,1.0,3200
33,72,1.0,3300
34,72,1.0,3400
35,72,1.0,3500
36,72,1.0,3600
37,72,1.0,3700
38,72,1.0,3800
39,72,1.0,3900
40,72,1.0,4000
41,72,1.0,4100
42,72,1.0,4200
43,72,1.0,4300
44,72,1.0,4400
45,72,1.0,4500
46,72,1.0,4600
47,72,1.0,4700
48,72,1.0,4800
49,72,1.0,4900
